table_name,name,type,description,constraints_unique,constraints_required,constraints_tablular_required,format,one_to_many,one_to_one,enum
service,status,string,"The current status of the service which can be active, inactive, defunct, or temporarily closed.",false,true,false,,,,"active,inactive,defunct,temporarily closed"
service,interpretation_services,string,A free text description of any interpretation services available for accessing this service.,false,false,false,,,,
service,application_process,string,A free text description of the steps needed to access this service.,false,false,false,,,,
service,fees_description,string,A free text description of any charges for service users to access this service.,false,false,false,,,,
service,wait_time,string,DEPRECATED: The time a client may expect to wait before receiving a service.,false,false,false,,,,
service,fees,string,DEPRECATED: Details of any charges for service users to access this service.,false,false,false,,,,
service,accreditations,string,A free text description of any accreditations. Accreditation is the formal evaluation of an organization or program against best practice standards set by an accrediting organization.,false,false,false,,,,
service,eligibility_description,string,A free text description of the type of person for whom this service is intended.,false,false,false,,,,
service,minimum_age,number,The minimum age of a person required to meet this eligibility requirement.,false,false,false,,,,
service,maximum_age,number,The maximum age of a person required to meet this eligibility requirement.,false,false,false,,,,
service,assured_date,string,The date that the information about the service was last checked.,false,false,false,,,,
service,assurer_email,string,The contact e-mail address for the person or organization which last assured the service.,false,false,false,email,,,
service,licenses,string,DEPRECATED: An organization may have a license issued by a government entity to operate legally. A list of any such licenses can be provided here.,false,false,false,,,,
service,alert,string,A description of any short term alerts concerning the service.,false,false,false,,,,
service,last_modified,string,"The datetime when the service, or any related information about the service, has changed. Should have millisecond accuracy.",false,false,false,date-time,,,
service,phones,array,"The details of the telephone numbers used to contact organizations, services, and locations.",,false,false,,phone.json,,
service,schedules,array,The details of when a service or location is open. Entries are RFC 5545 RRULES.,,false,false,,schedule.json,,
service,service_areas,array,The details of the geographic area for which a service is available.,,false,false,,service_area.json,,
service,service_at_locations,array,A link between a service and a specific location.,,false,false,,service_at_location.json,,
service,languages,array,The details of the languages that are spoken at locations or services. This does not include languages which can only be used with interpretation.,,false,false,,language.json,,
service,organization,,The details about each organization delivering services. Each service should be linked to the organization responsible for its delivery. One organization may deliver many services.,,false,false,,,organization.json,
service,funding,array,The sources of funding for a service or organization.,,false,false,,funding.json,,
service,cost_options,array,The costs of a service at certain points in time. This is an LGA Extension table. This table provides a structured version of the text information contained in the 'fees' field of the 'service' table.,,false,false,,cost_option.json,,
service,program,,The details of collections of related services.,,false,false,,,program.json,
service,required_documents,array,The details of any documents that are required in order to access or use services.,,false,false,,required_document.json,,
service,contacts,array,The details of the named contacts for services and organizations.,,false,false,,contact.json,,
service,capacities,array,The details of capacities of this service. See `service_capacity`.,,false,false,,service_capacity.json,,
service,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
service,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
attribute,id,string,The identifier of the attribute entry. Each attribute entry should have a unique identifier.,true,true,false,uuid,,,
attribute,link_id,string,The identifier of the entity to which this taxonomy term applies.,false,false,true,uuid,,,
attribute,taxonomy_term_id,string,The identifier of this taxonomy term from the taxonomy table.,false,false,true,uuid,,,
attribute,link_type,string,"A code taken from an enumerated open codelist to indicate what the taxonomy term describes, e.g. the service eligibility or intended audience.",false,false,false,,,,
attribute,link_entity,string,The table of the Link Identifier.,false,false,true,,,,
attribute,value,string,The value (if any) of an attribute.,false,false,false,,,,
attribute,taxonomy_term,,"Each service can be categorized according to one or more taxonomy terms. The taxonomy_term object contains a list of taxonomy terms, their names, and, for hierarchical taxonomies, their structure.",,false,false,,,taxonomy_term.json,
attribute,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
attribute,label,string,A free text label of the attribute.,false,false,false,,,,
service_at_location,id,string,The identifier of the service at location entry. Each entry must have a unique identifier.,true,true,false,uuid,,,
service_at_location,service_id,string,The identifier of the service at a given location.,false,false,true,uuid,,,
service_at_location,location_id,string,The identifier of the location where this service operates.,false,false,true,uuid,,,
service_at_location,description,string,A free text description of the service at this specific location.,false,false,false,,,,
service_at_location,service_areas,array,The details of the geographic area for which a service is available.,,false,false,,service_area.json,,
service_at_location,contacts,array,The details of the named contacts for services and organizations.,,false,false,,contact.json,,
service_at_location,phones,array,"The details of the telephone numbers used to contact organizations, services, and locations.",,false,false,,phone.json,,
service_at_location,schedules,array,The details of when a service or location is open. Entries are RFC 5545 RRULES.,,false,false,,schedule.json,,
service_at_location,location,,"The details of the locations where organizations operate. Locations may be virtual, and one organization may have many locations.",,false,false,,,location.json,
service_at_location,attributes,array,A link between a service and one or more classifications that describe the nature of the service provided.,,false,false,,attribute.json,,
service_at_location,metadata,array,A record of the changes that have been made to the data in order to maintain provenance information.,,false,false,,metadata.json,,
location,id,string,The identifier of the location. Each location must have a unique identifier.,true,true,false,uuid,,,
location,location_type,string,"The type of location, which may be either `physical`, `postal`, or `virtual`.",false,true,false,,,,"physical,postal,virtual"
location,url,string,"If location_type is virtual, then this field represents the URL of a virtual location.",false,false,false,uri,,,
location,organization_id,string,The organization identifier for a location. This is the organization that is responsible for maintaining information about this location. The identifier of the organization should be given here. Details of the services the organization delivers at this location should be provided in the services_at_location table.,false,false,false,uuid,,,
location,name,string,The name of the location.,false,false,false,,,,
location,alternate_name,string,An (optional) alternative name of the location.,false,false,false,,,,
location,description,string,A free text description of the location.,false,false,false,,,,
location,transportation,string,A free text description of the access to public or private transportation to and from the location.,false,false,false,,,,
location,latitude,number,The latitude of the location expressed in decimal degrees in WGS84 datum.,false,false,false,,,,
location,longitude,number,The longitude of the location expressed in decimal degrees in WGS84 datum.,false,false,false,,,,
location,external_identifier,string,"A third party identifier for the location, which can be drawn from other services e.g. UK UPRN.",false,false,false,,,,
location,external_identifier_type,string,The scheme used for the location's external_identifier e.g. UK UPRN.,false,false,false,,,,
